"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 16 02:36:32 GMT 2023","Thu Mar 16 02:36:35 GMT 2023","3090","ADD_DELETE_UPDATE_WEBTABLE_DATA","Delete the third entry in the web table","","","","Delete the third entry in the web table",""
"passed","Thu Mar 16 02:37:55 GMT 2023","Thu Mar 16 02:37:59 GMT 2023","4279","DRAG_AND_DROP","Drag and drop a draggable element into another","","","","Drag and drop a draggable element into another",""
"passed","Thu Mar 16 02:37:47 GMT 2023","Thu Mar 16 02:37:55 GMT 2023","7941","CLICK_ON_DIFFERENT_BUTTON_TYPES","Check dynamic elements change properties after 5 seconds","","","","Check dynamic elements change properties after 5 seconds",""
"passed","Thu Mar 16 02:40:04 GMT 2023","Thu Mar 16 02:40:08 GMT 2023","3857","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","The button ""Reset"" is visible after the progress bar is at 100%","","","","The button ""Reset"" is visible after the progress bar is at 100%",""
"passed","Thu Mar 16 02:35:51 GMT 2023","Thu Mar 16 02:35:51 GMT 2023","85","API_CALLS","Create a new pet in petstore API","","","","Create a new pet in petstore API",""
"skipped","Thu Mar 16 02:35:51 GMT 2023","Thu Mar 16 02:35:51 GMT 2023","2","CONTAINER-MYSQL","Retrieve version Mysql","","","","Retrieve version Mysql",""
"unknown","Thu Mar 16 02:38:40 GMT 2023","Thu Mar 16 02:38:42 GMT 2023","2345","WIDGET_DISPLAY_AND_MENUS","Open only the selected accordian section on click","","","","Open only the selected accordian section on click",""
"passed","Thu Mar 16 02:37:23 GMT 2023","Thu Mar 16 02:37:30 GMT 2023","6904","BROWSER_WINDOWS_AND_TABS","Opening a new window with text when clicking on ""New Window Message"" button","","","","Opening a new window with text when clicking on ""New Window Message"" button",""
"passed","Thu Mar 16 02:37:41 GMT 2023","Thu Mar 16 02:37:44 GMT 2023","2905","CLICK_ON_DIFFERENT_BUTTON_TYPES","Display radio button text when selected","","","","Display radio button text when selected",""
"passed","Thu Mar 16 02:36:41 GMT 2023","Thu Mar 16 02:36:44 GMT 2023","3091","ADD_DELETE_UPDATE_WEBTABLE_DATA","Download a file online","","","","Download a file online",""
"passed","Thu Mar 16 02:36:24 GMT 2023","Thu Mar 16 02:36:28 GMT 2023","4399","ADD_DELETE_UPDATE_WEBTABLE_DATA","Add a new entry to web table","","","","Add a new entry to web table",""
"unknown","Thu Mar 16 02:39:47 GMT 2023","Thu Mar 16 02:39:50 GMT 2023","2524","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Checking a date via date picker using input field","","","","Checking a date via date picker using input field",""
"passed","Thu Mar 16 02:37:06 GMT 2023","Thu Mar 16 02:37:08 GMT 2023","2868","ALERT_AND_POPUP_DISPLAY","Check different modals dialogs popin are displayed","","","","Check different modals dialogs popin are displayed",""
"unknown","Thu Mar 16 02:38:35 GMT 2023","Thu Mar 16 02:38:35 GMT 2023","4","FRAMES","Check multiple frames are displayed properly","","","","Check multiple frames are displayed properly",""
"passed","Thu Mar 16 02:37:08 GMT 2023","Thu Mar 16 02:37:16 GMT 2023","7988","BROWSER_WINDOWS_AND_TABS","Redirection to a new tab when clicking on ""New Tab"" button","","","","Redirection to a new tab when clicking on ""New Tab"" button",""
"passed","Thu Mar 16 02:36:35 GMT 2023","Thu Mar 16 02:36:38 GMT 2023","3260","ADD_DELETE_UPDATE_WEBTABLE_DATA","Search Kierra entry in the web table","","","","Search Kierra entry in the web table",""
"unknown","Thu Mar 16 02:38:50 GMT 2023","Thu Mar 16 02:38:52 GMT 2023","2394","WIDGET_DISPLAY_AND_MENUS","Navigate using in-page tab contents on click","","","","Navigate using in-page tab contents on click",""
"passed","Thu Mar 16 02:37:30 GMT 2023","Thu Mar 16 02:37:35 GMT 2023","4464","CLICK_ON_DIFFERENT_BUTTON_TYPES","Display checkbox folders and sub-folders when checked","","","","Display checkbox folders and sub-folders when checked",""
"passed","Thu Mar 16 02:37:16 GMT 2023","Thu Mar 16 02:37:23 GMT 2023","6989","BROWSER_WINDOWS_AND_TABS","Redirection to a new window when clicking on ""New Window"" button","","","","Redirection to a new window when clicking on ""New Window"" button",""
"passed","Thu Mar 16 02:36:59 GMT 2023","Thu Mar 16 02:37:02 GMT 2023","3411","ALERT_AND_POPUP_DISPLAY","Check different alerts popins are displayed","","","","Check different alerts popins are displayed",""
"failed","Thu Mar 16 02:38:55 GMT 2023","Thu Mar 16 02:39:30 GMT 2023","34948","WIDGET_DISPLAY_AND_MENUS","Fill all the select fields displayed","","","","Fill all the select fields displayed",""
"passed","Thu Mar 16 02:39:57 GMT 2023","Thu Mar 16 02:40:00 GMT 2023","3430","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Click on ""Start"" to fill up the progress bar","","","","Click on ""Start"" to fill up the progress bar",""
"passed","Thu Mar 16 02:36:15 GMT 2023","Thu Mar 16 02:36:19 GMT 2023","4041","ACCESS_LINKS","Check API response by clicking on links","","","","Check API response by clicking on links",""
"unknown","Thu Mar 16 02:39:50 GMT 2023","Thu Mar 16 02:39:52 GMT 2023","2336","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Checking a date via date picker using calendar module","","","","Checking a date via date picker using calendar module",""
"passed","Thu Mar 16 02:36:38 GMT 2023","Thu Mar 16 02:36:41 GMT 2023","2923","ADD_DELETE_UPDATE_WEBTABLE_DATA","Upload a file and check file path","","","","Upload a file and check file path",""
"unknown","Thu Mar 16 02:38:35 GMT 2023","Thu Mar 16 02:38:35 GMT 2023","4","FRAMES","Check frames nested are displayed properly","","","","Check frames nested are displayed properly",""
"passed","Thu Mar 16 02:35:51 GMT 2023","Thu Mar 16 02:35:51 GMT 2023","39","API_CALLS","Rename a pet in petstore API","","","","Rename a pet in petstore API",""
"passed","Thu Mar 16 02:39:40 GMT 2023","Thu Mar 16 02:39:44 GMT 2023","3459","WIDGET_DISPLAY_AND_MENUS","Display information tooltips on hover for designated element","","","","Display information tooltips on hover for designated element",""
"unknown","Thu Mar 16 02:39:54 GMT 2023","Thu Mar 16 02:39:57 GMT 2023","2457","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Change input value by clicking on the slider bar","","","","Change input value by clicking on the slider bar",""
"passed","Thu Mar 16 02:36:28 GMT 2023","Thu Mar 16 02:36:32 GMT 2023","3956","ADD_DELETE_UPDATE_WEBTABLE_DATA","Edit the first entry in the web table","","","","Edit the first entry in the web table",""
"passed","Thu Mar 16 02:37:44 GMT 2023","Thu Mar 16 02:37:47 GMT 2023","3559","CLICK_ON_DIFFERENT_BUTTON_TYPES","Display button click when clicked on","","","","Display button click when clicked on",""
"passed","Thu Mar 16 02:35:51 GMT 2023","Thu Mar 16 02:35:51 GMT 2023","126","API_CALLS","Delete a pet in petstore API","","","","Delete a pet in petstore API",""
"passed","Thu Mar 16 02:36:19 GMT 2023","Thu Mar 16 02:36:24 GMT 2023","4587","ACCESS_LINKS","Check broken links returns an error 500","","","","Check broken links returns an error 500",""
"unknown","Thu Mar 16 02:39:52 GMT 2023","Thu Mar 16 02:39:54 GMT 2023","2321","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Change input value by moving the slider","","","","Change input value by moving the slider",""
"passed","Thu Mar 16 02:40:00 GMT 2023","Thu Mar 16 02:40:04 GMT 2023","3473","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Click on ""Stop"" to stop the progress bar from filling","","","","Click on ""Stop"" to stop the progress bar from filling",""
"skipped","Thu Mar 16 02:35:51 GMT 2023","Thu Mar 16 02:35:51 GMT 2023","2","CONTAINER-MSSQL","Retrieve version MSSQL","","","","Retrieve version MSSQL",""
"passed","Thu Mar 16 02:35:51 GMT 2023","Thu Mar 16 02:35:51 GMT 2023","47","API_CALLS","Search a pet in petstore API","","","","Search a pet in petstore API",""
"passed","Thu Mar 16 02:38:52 GMT 2023","Thu Mar 16 02:38:55 GMT 2023","3293","WIDGET_DISPLAY_AND_MENUS","Navigate using in-page menu and sub-menu contents on hover","","","","Navigate using in-page menu and sub-menu contents on hover",""
"failed","Thu Mar 16 02:37:59 GMT 2023","Thu Mar 16 02:38:35 GMT 2023","35732","FILL_FORMS","Fill a complete form using external json data","","","","Fill a complete form using external json data",""
"passed","Thu Mar 16 02:39:44 GMT 2023","Thu Mar 16 02:39:47 GMT 2023","3279","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Check suggestions when using autocomplete on input field","","","","Check suggestions when using autocomplete on input field",""
"passed","Thu Mar 16 02:35:51 GMT 2023","Thu Mar 16 02:35:54 GMT 2023","2968","ACCESS_LINKS","Redirection to a new page when clicking on link (tabs and windows)","","","","Redirection to a new page when clicking on link (tabs and windows)",""
